,X,Y,Speed,Boosts,Mud_0,Mud_1,Mud_2,Mud_3,Speed_0,Speed_1,Speed_2,Speed_3,Move,Mud_Through,Objective
0,6,0,6,0,1,6,2,2,0,0,0,1,0,0,4
1,14,0,8,0,4,4,3,1,0,0,0,1,0,1,5
2,23,0,8,0,3,1,3,0,0,1,0,1,2,0,4
3,30,1,8,0,3,2,3,1,0,1,0,1,0,1,4
4,39,1,8,0,4,2,1,1,0,1,0,0,0,1,0
5,48,1,8,1,4,1,1,0,0,0,0,0,0,1,0
6,57,1,8,1,2,0,1,1,0,0,0,0,3,0,0
7,72,1,15,0,1,0,0,1,0,1,0,0,0,0,9
8,87,1,15,1,0,3,1,3,0,0,0,0,1,0,10
9,101,0,15,1,1,3,2,2,0,1,0,0,0,1,6
10,116,0,9,1,1,2,1,2,0,1,0,0,0,1,5
11,125,0,8,1,0,1,1,1,0,0,0,0,3,0,5
12,140,0,15,0,1,4,0,2,1,1,1,0,0,1,9
13,155,0,9,1,2,2,1,2,0,1,2,0,0,1,6
14,164,0,8,1,2,4,0,3,0,0,1,0,0,1,8
15,173,0,8,1,1,4,1,3,0,1,1,0,0,1,3
16,182,0,8,1,0,2,3,1,0,2,0,0,2,1,4
17,189,1,6,1,0,1,3,2,0,2,0,0,0,0,4
18,197,1,8,3,2,3,3,2,0,0,0,0,3,2,3
19,212,1,8,2,2,2,0,3,0,0,0,0,3,2,6
20,227,1,8,1,1,2,3,2,0,0,0,0,3,0,6
21,242,1,15,0,1,4,1,0,0,0,0,1,2,1,9
22,256,2,9,0,1,2,1,1,1,0,0,0,1,1,0
23,264,1,8,0,1,1,0,2,1,0,0,0,1,1,3
24,271,0,6,1,0,1,1,3,0,0,0,0,3,0,4
25,286,0,15,0,2,4,0,3,1,0,0,0,0,1,5
26,301,0,9,1,1,4,1,3,0,0,0,0,0,1,5
27,310,0,8,1,0,2,0,2,0,0,0,0,3,0,6
28,325,0,15,0,1,2,3,1,1,0,0,0,0,1,10
29,340,0,9,1,2,2,5,0,0,1,0,0,3,2,7
30,355,0,8,0,3,2,4,1,0,0,0,0,0,1,5
31,364,0,8,0,2,1,3,1,0,0,0,0,0,1,5
32,373,0,8,0,2,1,1,0,0,0,0,1,0,1,4
33,382,0,8,0,1,2,3,1,0,0,0,1,0,1,5
34,391,0,8,0,1,3,3,1,0,0,0,1,0,0,8
35,400,0,9,0,2,1,2,1,0,1,0,1,0,1,8
36,409,0,8,0,1,2,1,2,0,1,0,1,2,1,4
37,416,1,6,0,0,2,1,2,0,1,0,1,0,1,3
38,424,1,6,1,1,1,1,2,0,0,0,0,3,1,5
39,439,1,9,0,2,1,1,1,0,0,0,0,0,0,6
40,448,1,9,0,2,1,0,0,0,0,1,0,0,1,5
41,457,1,8,0,2,0,2,1,0,0,1,0,2,0,9
42,464,2,8,0,2,0,2,2,0,0,1,0,0,1,4
43,473,2,8,1,1,2,5,3,1,0,0,0,2,2,5
44,480,3,3,1,1,4,5,1,1,0,0,0,3,1,1
